6	W	40	5	71	25	1	9	7	GO	900	324229
1	W	29	4	70	20	0	8	2	GO	1080	324229
29	SSW	18	5	73	9	0	8	7	GO	1260	324229
56	S	13	5	78	4	0	7	7	VG	0	324229
67	S	22	5	93	9	0	8	13	MO	1080	324229
9	SW	38	6	74	18	0	9	7	EX	360	324229
5	SW	36	4	70	18	1	8	1	VG	540	324229
8	SW	36	5	69	16	1	8	1	VG	720	324229
14	SW	29	4	73	13	1	8	1	VG	900	324229
54	SW	20	4	82	9	0	7	7	VG	1080	324229
59	WSW	16	3	86	7	0	5	9	GO	1260	324229
13	W	25	2	81	11	0	5	7	VG	0	324229
6	WSW	25	1	81	11	0	5	7	VG	1080	324229
3	SW	20	1	83	9	0	4	2	VG	360	324229
3	SSW	16	2	85	7	1	4	3	VG	540	324229
2	SW	18	3	81	9	1	6	3	GO	720	324229
43	WSW	25	3	80	11	1	6	10	GO	900	324229
39	W	31	2	82	16	0	6	2	VG	1080	324229
3	W	29	2	80	13	0	5	0	VG	1260	324229
1	W	25	1	83	11	0	5	0	VG	0	324229
0	W	22	1	85	11	0	5	0	VG	1080	324229
1	WSW	16	1	87	9	0	4	2	GO	360	324229
5	SSW	13	1	89	7	1	4	7	GO	540	324229
55	S	22	1	88	11	1	4	12	GO	720	324229
77	SW	29	3	84	13	1	7	15	GO	900	324229
17	WSW	29	3	84	13	0	6	7	GO	1080	324229
9	WSW	29	3	83	16	0	7	2	VG	1260	324229
33	SW	27	3	84	13	0	7	2	VG	0	324229
46	SW	27	3	88	13	0	7	9	GO	1080	324229
58	WSW	29	3	83	16	0	7	13	GO	360	324229
42	W	36	1	81	18	1	5	10	GO	540	324229
15	W	36	2	77	18	1	6	7	VG	720	324229
8	W	34	2	78	18	1	6	3	VG	900	324229
4	W	29	2	82	16	0	6	2	VG	1080	324229
8	W	29	2	82	16	0	6	7	VG	1260	324229
